name,Country,Region,Municipality,latitude,longitude
Dangyang Air Base,CN,CN-42,,22.3113991,113.9260996
Foluo Northeast Air Base,CN,CN-46,,29.3715319,104.842340612083
Foshan Shadi Airport,CN,CN-44,Foshan,29.3702093,104.843243329852
Guiping Mengshu Air Base,CN,CN-45,,-8.5759151,116.1300314
Xinyang Minggang Airport,CN,CN-41,Xinyang,22.3115907,113.927353
Huizhou Airport,CN,CN-44,Huizhou,29.3702093,104.843243329852
Jialaishi Air Base,CN,CN-46,,29.3715319,104.842340612083
Leiyang Air Base,CN,CN-43,,22.310973,113.9270278
Lingshui Air Base,CN,CN-46,,29.3715319,104.842340612083
Shangqiu Air Base,CN,CN-41,Shangqiu,22.3115907,113.927353
Zhengzhou Air Base,CN,CN-41,,,
Shaoguan Guitou Airport,CN,CN-44,Shaoguan,29.3702093,104.843243329852
Suixi Air Base,CN,CN-44,,29.3702093,104.843243329852
Jinggangshan Airport,CN,CN-36,Ji'an,29.31838555,104.759021375927
Baise Youjiang Airport,CN,CN-45,Baise,-8.5759151,116.1300314
Guodu air base,CN,CN-U-A,,23.1288464,113.2698745
Xiaogan Air Base,CN,CN-42,,22.3113991,113.9260996
Baitabu Air Base,CN,CN-32,,-8.594853,116.1363167
Cangxian Air Base,CN,CN-13,,31.1658177,121.24827466956
Dongying Shengli Airport,CN,CN-37,Dongying,45.77011755,131.0329477
Jiaozhou/Jiaocheng Air Base,CN,CN-37,,45.77011755,131.0329477
Jinan Air Base,CN,CN-37,,45.77011755,131.0329477
Jiugucheng Air Base,CN,CN-13,,31.1658177,121.24827466956
Kaifeng Air Base,CN,CN-41,Kaifeng,22.3115907,113.927353
Laiyang Air Base,CN,CN-37,,,
Luyang Air Base,CN,CN-41,,22.3115907,113.927353
Qingdao-Cangkou Air Base,CN,CN-37,,45.77011755,131.0329477
Wendeng Air Base,CN,CN-37,,45.77011755,131.0329477
Xingcheng Air Base,CN,CN-21,,24.69985575,113.637926926034
Xuzhou Daguozhang Air Base,CN,CN-32,,-8.594853,116.1363167
Xuzhou Jiulishan Air Base,CN,CN-32,,-8.594853,116.1363167
Yidu Air Base,CN,CN-37,,45.77011755,131.0329477
Zhucheng Air Base,CN,CN-37,,45.77011755,131.0329477
Altay Air Base,CN,CN-65,Altay,-8.5899202,116.1326886
Baoji Air Base,CN,CN-61,,22.313331,113.9258252
Gonghe Air Base,CN,CN-63,,-8.5969541,116.131314
Lanzhou Air Base,CN,CN-62,Lanzhou,22.3143876,113.9258511
Ljtao Air Base,CN,CN-62,,22.3143876,113.9258511
Qingshui Air Base,CN,CN-62,,,
Tianshui Maijishan Airport,CN,CN-62,Tianshui,22.3143876,113.9258511
Urumqi South Air Base,CN,CN-65,,-8.5899202,116.1326886
Uxxaktal Air Base,CN,CN-65,,-8.5899202,116.1326886
Wugong Air Base,CN,CN-61,,22.313331,113.9258252
Wulumuqi Air Base,CN,CN-65,,-8.5899202,116.1326886
Wuwei Air Base,CN,CN-62,,22.3143876,113.9258511
Xian Air Base,CN,CN-61,,22.313331,113.9258252
Xincheng Air Base,CN,CN-36,,29.31838555,104.759021375927
Yaerbashi Test Range,CN,CN-65,,-8.5899202,116.1326886
Yanliang Air Base,CN,CN-61,,22.313331,113.9258252
Zhangye Ganzhou Airport,CN,CN-62,Zhangye,22.3143876,113.9258511
Changzing Air Base,CN,CN-33,,29.31979585,104.759706733931
Daishan Air Base,CN,CN-33,,29.31979585,104.759706733931
Feidong Air Base,CN,CN-34,,29.3188035,104.75937579136
Fuzhou Air Base,CN,CN-35,Fuzhou,29.31834345,104.759929261694
Huian Air Base,CN,CN-35,,29.31834345,104.759929261694
Jianqiao/Hangzhou Airfield,CN,CN-33,Hangzhou,29.31979585,104.759706733931
Jiaxing Air Base,CN,CN-33,,29.31979585,104.759706733931
Longtian/Lung-T'ien Air Base,CN,CN-35,,29.31834345,104.759929261694
Longyou Air Base,CN,CN-33,,29.31979585,104.759706733931
Mahuiling Air Base,CN,CN-36,,29.31838555,104.759021375927
Nanchang New Airfield,CN,CN-36,Nanchang,29.31838555,104.759021375927
Nanchang Xiangtang Air Base,CN,CN-36,Nanchang,29.31838555,104.759021375927
Ningbo Zhangqiao Air Base,CN,CN-33,,29.31979585,104.759706733931
Shanghai Dachang Air Base,CN,CN-31,Shanghai,-8.5940599,116.1460454
Zhangshu Air Base,CN,CN-36,,29.31838555,104.759021375927
Changchun Air Base,CN,CN-22,,-8.5816738,116.1305365
Chifeng Air Base,CN,CN-15,,29.32290515,104.753550946817
Dandong Airport,CN,CN-21,Dandong,24.69985575,113.637926926034
Dingxin/Shuangchengzi Air Base,CN,CN-62,,22.3143876,113.9258511
Fuxin Air Base,CN,CN-21,,24.69985575,113.637926926034
Gongzhuling Air Base,CN,CN-22,,-8.5816738,116.1305365
Harbin Air Base,CN,CN-23,,-8.5943405,116.1701994
Kaiyuan Air Base,CN,CN-21,,24.69985575,113.637926926034
Lalin Air Base,CN,CN-23,,-8.5943405,116.1701994
Pingquan Air Base,CN,CN-13,,31.1658177,121.24827466956
Shenyang Beiling Air Base,CN,CN-21,Shenyang,,
Shenyang Yu Hung Tun Air Base,CN,CN-21,Shenyang,24.69985575,113.637926926034
Siping Air Base,CN,CN-22,,-8.5816738,116.1305365
Suizhong Air Base,CN,CN-21,,24.69985575,113.637926926034
Tuchengzi Air Base,CN,CN-21,,24.69985575,113.637926926034
Sanshilipu Air Base,CN,CN-21,Dalian,24.69985575,113.637926926034
Brampton-Caledon Airport,CA,CA-ON,,,
Lefkoniko Airport,CY,CY-03,GeÃƒÂ§itkale,34.9165543,33.4735994446331
Cat Lake Airport,CA,CA-ON,Cat Lake,50.000678,-86.000977
Fort Frances Municipal Airport,CA,CA-ON,Fort Frances,50.000678,-86.000977
La Grande-4 Airport,CA,CA-QC,La Grande-4,52.4760892,-71.8258668
Alert Bay Airport,CA,CA-BC,Alert Bay,55.001251,-125.002441
Sault Ste Marie Airport,CA,CA-ON,Sault Ste Marie,50.000678,-86.000977
Kasabonika Airport,CA,CA-ON,Kasabonika,50.000678,-86.000977
Kangirsuk Airport,CA,CA-QC,Kangirsuk,52.4760892,-71.8258668
Attawapiskat Airport,CA,CA-ON,Attawapiskat,50.000678,-86.000977
Liverpool South Shore Regional Airport,CA,CA-NS,Liverpool,45.1960403,-63.1653789
Winnipeg / St. Andrews Airport,CA,CA-MB,Winnipeg,55.001251,-97.001038
Lac Du Bonnet Airport,CA,CA-MB,Lac Du Bonnet,55.001251,-97.001038
St. Anthony Airport,CA,CA-NL,St. Anthony,53.8217327,-61.2295532
Tofino / Long Beach Airport,CA,CA-BC,Tofino,55.001251,-125.002441
Kugaaruk Airport,CA,CA-NU,Kugaaruk,65.0377727,-92.5540791
Baie Comeau Airport,CA,CA-QC,Baie-Comeau,52.4760892,-71.8258668
Bella Coola Airport,CA,CA-BC,Bella Coola,55.001251,-125.002441
Uranium City Airport,CA,CA-SK,Uranium City,55.5321257,-106.1412243
Bonnyville Airport,CA,CA-AB,Bonnyville,55.001251,-115.002136
CFB Bagotville,CA,CA-QC,Bagotville,,
Baker Lake Airport,CA,CA-NU,Baker Lake,65.0377727,-92.5540791
Campbell River Airport,CA,CA-BC,Campbell River,55.001251,-125.002441
Tadoule Lake Airport,CA,CA-MB,Tadoule Lake,55.001251,-97.001038
Brandon Municipal Airport,CA,CA-MB,Brandon,55.001251,-97.001038
Brochet Airport,CA,CA-MB,Brochet,55.001251,-97.001038
Nipawin Airport,CA,CA-SK,Nipawin,55.5321257,-106.1412243
Berens River Airport,CA,CA-MB,Berens River,55.001251,-97.001038
Calgary / Springbank Airport,CA,CA-AB,Calgary,55.001251,-115.002136
Lourdes de Blanc Sablon Airport,CA,CA-QC,Lourdes-De-Blanc-Sablon,52.4760892,-71.8258668
Cartwright Airport,CA,CA-NL,Cartwright,53.8217327,-61.2295532
Cambridge Bay Airport,CA,CA-NU,Cambridge Bay,65.0377727,-92.5540791
Cornwall Regional Airport,CA,CA-ON,Cornwall,50.000678,-86.000977
Nanaimo Airport,CA,CA-BC,Nanaimo,55.001251,-125.002441
Centralia / James T. Field Memorial Aerodrome,CA,CA-ON,Centralia,50.000678,-86.000977
Castlegar/West Kootenay Regional Airport,CA,CA-BC,Castlegar,55.001251,-125.002441
Miramichi Airport,CA,CA-NB,Miramichi,46.500283,-66.750183
Charlo Airport,CA,CA-NB,Charlo,46.500283,-66.750183
Cochrane Airport,CA,CA-ON,Cochrane,50.000678,-86.000977
Kugluktuk Airport,CA,CA-NU,Kugluktuk,,
Blue River Airport,CA,CA-BC,Blue River,55.001251,-125.002441
Chetwynd Airport,CA,CA-BC,Chetwynd,55.001251,-125.002441
Cross Lake (Charlie Sinclair Memorial) Airport,CA,CA-MB,Cross Lake,55.001251,-97.001038
Chesterfield Inlet Airport,CA,CA-NU,Chesterfield Inlet,65.0377727,-92.5540791
Clyde River Airport,CA,CA-NU,Clyde River,65.0377727,-92.5540791
Dawson City Airport,CA,CA-YT,Dawson City,63.000147,-136.002502
Burwash Airport,CA,CA-YT,Burwash,63.000147,-136.002502
Princeton Airport,CA,CA-BC,Town of Princeton,55.001251,-125.002441
Deer Lake Airport,CA,CA-NL,Deer Lake,53.8217327,-61.2295532
Ross River Airport,CA,CA-YT,Ross River,63.000147,-136.002502
Dauphin Barker Airport,CA,CA-MB,Dauphin,55.001251,-97.001038
Dolbeau St Felicien Airport,CA,CA-QC,Dolbeau-St-FÃƒÂ©licien,52.4760892,-71.8258668
Nain Airport,CA,CA-NL,Nain,53.8217327,-61.2295532
Dawson Creek Airport,CA,CA-BC,Dawson Creek,55.001251,-125.002441
Huronia Airport,CA,CA-ON,Midland,50.000678,-86.000977
Edmonton International Airport,CA,CA-AB,Edmonton,55.001251,-115.002136
Arviat Airport,CA,CA-NU,Arviat,65.0377727,-92.5540791
Elliot Lake Municipal Airport,CA,CA-ON,Elliot Lake,50.000678,-86.000977
Manitoulin East Municipal Airport,CA,CA-ON,Manitowaning,50.000678,-86.000977
Estevan Airport,CA,CA-SK,Estevan,55.5321257,-106.1412243
Fort Severn Airport,CA,CA-ON,Fort Severn,50.000678,-86.000977
Edson Airport,CA,CA-AB,Edson,55.001251,-115.002136
Inuvik Mike Zubko Airport,CA,CA-NT,Inuvik,65.0000004,-118
Amos/Magny Airport,CA,CA-QC,Amos,52.4760892,-71.8258668
Fort Albany Airport,CA,CA-ON,Fort Albany,50.000678,-86.000977
Iqaluit Airport,CA,CA-NU,Iqaluit,65.0377727,-92.5540791
Fredericton Airport,CA,CA-NB,Fredericton,46.500283,-66.750183
Forestville Airport,CA,CA-QC,Forestville,52.4760892,-71.8258668
Fort Hope Airport,CA,CA-ON,Fort Hope,50.000678,-86.000977
La Macaza / Mont-Tremblant International Inc Airport,CA,CA-QC,RiviÃƒÂ¨re Rouge,52.4760892,-71.8258668
Flin Flon Airport,CA,CA-MB,Flin Flon,55.001251,-97.001038
Fort Resolution Airport,CA,CA-NT,Fort Resolution,65.0000004,-118
Fort Simpson Airport,CA,CA-NT,Fort Simpson,65.0000004,-118
Makkovik Airport,CA,CA-NL,Makkovik,53.8217327,-61.2295532
Texada Gillies Bay Airport,CA,CA-BC,Texada,55.001251,-125.002441
Goderich Airport,CA,CA-ON,Goderich,50.000678,-86.000977
Golden Airport,CA,CA-BC,Golden,55.001251,-125.002441
Fort Good Hope Airport,CA,CA-NT,Fort Good Hope,65.0000004,-118
Kingston Norman Rogers Airport,CA,CA-ON,Kingston,50.000678,-86.000977
La Grande RiviÃƒÂ¨re Airport,CA,CA-QC,La Grande RiviÃƒÂ¨re,52.4760892,-71.8258668
Gimli Industrial Park Airport,CA,CA-MB,Gimli,55.001251,-97.001038
Gods Lake Narrows Airport,CA,CA-MB,Gods Lake Narrows,55.001251,-97.001038
GaspÃƒÂ© (Michel-Pouliot) Airport,CA,CA-QC,GaspÃƒÂ©,52.4760892,-71.8258668
Geraldton Greenstone Regional Airport,CA,CA-ON,Geraldton,50.000678,-86.000977
ÃƒÂŽles-de-la-Madeleine Airport,CA,CA-QC,ÃƒÂŽles-de-la-Madeleine,52.4760892,-71.8258668
Igloolik Airport,CA,CA-NU,Igloolik,65.0377727,-92.5540791
Havre St Pierre Airport,CA,CA-QC,Havre St-Pierre,52.4760892,-71.8258668
Kuujjuarapik Airport,CA,CA-QC,Kuujjuarapik,52.4760892,-71.8258668
Gillam Airport,CA,CA-MB,Gillam,55.001251,-97.001038
Grise Fiord Airport,CA,CA-NU,Grise Fiord,65.0377727,-92.5540791
Quaqtaq Airport,CA,CA-QC,Quaqtaq,52.4760892,-71.8258668
Dryden Regional Airport,CA,CA-ON,Dryden,50.000678,-86.000977
Hope Airport,CA,CA-BC,Hope,55.001251,-125.002441
Hearst RenÃƒÂ© Fontaine Municipal Airport,CA,CA-ON,Hearst,50.000678,-86.000977
Nemiscau Airport,CA,CA-QC,Nemiscau,52.4760892,-71.8258668
Ulukhaktok Holman Airport,CA,CA-NT,Ulukhaktok,65.0000004,-118
Gjoa Haven Airport,CA,CA-NU,Gjoa Haven,65.0377727,-92.5540791
John C. Munro Hamilton International Airport,CA,CA-ON,Hamilton,50.000678,-86.000977
Hornepayne Municipal Airport,CA,CA-ON,Hornepayne,50.000678,-86.000977
Hopedale Airport,CA,CA-NL,Hopedale,53.8217327,-61.2295532
Chevery Airport,CA,CA-QC,Chevery,52.4760892,-71.8258668
Haines Junction Airport,CA,CA-YT,Haines Junction,63.000147,-136.002502
MontrÃƒÂ©al / Saint-Hubert Airport,CA,CA-QC,MontrÃƒÂ©al,52.4760892,-71.8258668
Hay River / Merlyn Carter Airport,CA,CA-NT,Hay River,65.0000004,-118
Halifax / Stanfield International Airport,CA,CA-NS,Halifax,45.1960403,-63.1653789
Atikokan Municipal Airport,CA,CA-ON,Atikokan,50.000678,-86.000977
Digby / Annapolis Regional Airport,CA,CA-NS,Digby,45.1960403,-63.1653789
St Augustin Airport,CA,CA-QC,St-Augustin,52.4760892,-71.8258668
Ivujivik Airport,CA,CA-QC,Ivujivik,52.4760892,-71.8258668
Pond Inlet Airport,CA,CA-NU,Pond Inlet,65.0377727,-92.5540791
Island Lake Airport,CA,CA-MB,Island Lake,55.001251,-97.001038
Fort Liard Airport,CA,CA-NT,Fort Liard,65.0000004,-118
St Jean Airport,CA,CA-QC,St Jean,52.4760892,-71.8258668
Stephenville Airport,CA,CA-NL,Stephenville,53.8217327,-61.2295532
Kamloops Airport,CA,CA-BC,Kamloops,55.001251,-125.002441
Aklavik/Freddie Carmichael Airport,CA,CA-NT,Aklavik,65.0000004,-118
Waterloo Airport,CA,CA-ON,Kitchener,50.000678,-86.000977
Kangiqsujuaq (Wakeham Bay) Airport,CA,CA-QC,Kangiqsujuaq,52.4760892,-71.8258668
Key Lake Airport,CA,CA-SK,Key Lake,55.5321257,-106.1412243
Schefferville Airport,CA,CA-QC,Schefferville,52.4760892,-71.8258668
Akulivik Airport,CA,CA-QC,Akulivik,52.4760892,-71.8258668
Waskaganish Airport,CA,CA-QC,Waskaganish,52.4760892,-71.8258668
Kirkland Lake Airport,CA,CA-ON,Kirkland Lake,50.000678,-86.000977
Kindersley Airport,CA,CA-SK,Kindersley,55.5321257,-106.1412243
Buttonville Municipal Airport,CA,CA-ON,Toronto,50.000678,-86.000977
Aupaluk Airport,CA,CA-QC,Aupaluk,,
Kimmirut Airport,CA,CA-NU,Kimmirut,65.0377727,-92.5540791
Chapleau Airport,CA,CA-ON,Chapleau,50.000678,-86.000977
Lansdowne House Airport,CA,CA-ON,Lansdowne House,50.000678,-86.000977
Meadow Lake Airport,CA,CA-SK,Meadow Lake,55.5321257,-106.1412243
Lutselk'e Airport,CA,CA-NT,Lutselk'e,65.0000004,-118
Lloydminster Airport,CA,CA-AB,Lloydminster,55.001251,-115.002136
Leaf Rapids Airport,CA,CA-MB,Leaf Rapids,55.001251,-97.001038
Alert Airport,CA,CA-NU,Alert,65.0377727,-92.5540791
Kangiqsualujjuaq (Georges River) Airport,CA,CA-QC,Kangiqsualujjuaq,52.4760892,-71.8258668
Kelowna International Airport,CA,CA-BC,Kelowna,55.001251,-125.002441
Mayo Airport,CA,CA-YT,Mayo,63.000147,-136.002502
Matane Airport,CA,CA-QC,Matane,52.4760892,-71.8258668
Manitouwadge Airport,CA,CA-ON,Manitouwadge,50.000678,-86.000977
Mary's Harbour Airport,CA,CA-NL,Mary's Harbour,53.8217327,-61.2295532
Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,CA-SK,Moose Jaw,55.5321257,-106.1412243
Charlevoix Airport,CA,CA-QC,Charlevoix,52.4760892,-71.8258668
Fort McMurray Airport,CA,CA-AB,Fort McMurray,55.001251,-115.002136
Moosonee Airport,CA,CA-ON,Moosonee,50.000678,-86.000977
Chapais Airport,CA,CA-QC,Chibougamau,52.4760892,-71.8258668
Umiujaq Airport,CA,CA-QC,Umiujaq,52.4760892,-71.8258668
Montreal International (Mirabel) Airport,CA,CA-QC,MontrÃƒÂ©al,52.4760892,-71.8258668
Natashquan Airport,CA,CA-QC,Natashquan,52.4760892,-71.8258668
Wemindji Airport,CA,CA-QC,Wemindji,52.4760892,-71.8258668
Ottawa / Gatineau Airport,CA,CA-QC,Gatineau,52.4760892,-71.8258668
Norway House Airport,CA,CA-MB,Norway House,55.001251,-97.001038
Points North Landing Airport,CA,CA-SK,Points North Landing,55.5321257,-106.1412243
Matagami Airport,CA,CA-QC,Matagami,52.4760892,-71.8258668
Nejanilini Lake Airport,CA,CA-MB,Nejanilini Lake,55.001251,-97.001038
Ekati Airport,CA,CA-NT,Ekati,65.0000004,-118
Old Crow Airport,CA,CA-YT,Old Crow,63.000147,-136.002502
CFB Cold Lake,CA,CA-AB,Cold Lake,55.001251,-115.002136
Oxford House Airport,CA,CA-MB,Oxford House,55.001251,-97.001038
High Level Airport,CA,CA-AB,High Level,55.001251,-115.002136
Toronto/Oshawa Executive Airport,CA,CA-ON,Oshawa,50.000678,-86.000977
Rainbow Lake Airport,CA,CA-AB,Rainbow Lake,55.001251,-115.002136
Owen Sound / Billy Bishop Regional Airport,CA,CA-ON,Owen Sound,50.000678,-86.000977
Ottawa Macdonald-Cartier International Airport,CA,CA-ON,Ottawa,50.000678,-86.000977
Prince Albert Glass Field,CA,CA-SK,Prince Albert,55.5321257,-106.1412243
Paulatuk (Nora Aliqatchialuk Ruben) Airport,CA,CA-NT,Paulatuk,65.0000004,-118
Port Hawkesbury Airport,CA,CA-NS,Port Hawkesbury,45.1960403,-63.1653789
Peace River Airport,CA,CA-AB,Peace River,55.001251,-115.002136
Southport Airport,CA,CA-MB,Portage la Prairie,55.001251,-97.001038
Inukjuak Airport,CA,CA-QC,Inukjuak,52.4760892,-71.8258668
Pickle Lake Airport,CA,CA-ON,Pickle Lake,50.000678,-86.000977
Pikangikum Airport,CA,CA-ON,Pikangikum,50.000678,-86.000977
Port Menier Airport,CA,CA-QC,Port-Menier,52.4760892,-71.8258668
Peawanuck Airport,CA,CA-ON,Peawanuck,50.000678,-86.000977
Peterborough Airport,CA,CA-ON,Peterborough,50.000678,-86.000977
Prince Rupert Airport,CA,CA-BC,Prince Rupert,55.001251,-125.002441
Powell River Airport,CA,CA-BC,Powell River,55.001251,-125.002441
Puvirnituq Airport,CA,CA-QC,Puvirnituq,52.4760892,-71.8258668
Fort Chipewyan Airport,CA,CA-AB,Fort Chipewyan,55.001251,-115.002136
Muskoka Airport,CA,CA-ON,Muskoka,50.000678,-86.000977
Quebec Jean Lesage International Airport,CA,CA-QC,Quebec,52.4760892,-71.8258668
The Pas Airport,CA,CA-MB,The Pas,55.001251,-97.001038
Red Deer Regional Airport,CA,CA-AB,Red Deer,55.001251,-115.002136
Windsor Airport,CA,CA-ON,Windsor,50.000678,-86.000977
Watson Lake Airport,CA,CA-YT,Watson Lake,63.000147,-136.002502
Yarmouth Airport,CA,CA-NS,Yarmouth,45.1960403,-63.1653789
Kenora Airport,CA,CA-ON,Kenora,50.000678,-86.000977
Lethbridge County Airport,CA,CA-AB,Lethbridge,55.001251,-115.002136
Greater Moncton International Airport,CA,CA-NB,Moncton,46.500283,-66.750183
Nakina Airport,CA,CA-ON,Nakina,50.000678,-86.000977
Comox Airport,CA,CA-BC,Comox,55.001251,-125.002441
Regina International Airport,CA,CA-SK,Regina,55.5321257,-106.1412243
St Thomas Municipal Airport,CA,CA-ON,St Thomas,50.000678,-86.000977
Thunder Bay Airport,CA,CA-ON,Thunder Bay,50.000678,-86.000977
Grande Prairie Airport,CA,CA-AB,Grande Prairie,55.001251,-115.002136
Yorkton Municipal Airport,CA,CA-SK,Yorkton,55.5321257,-106.1412243
North Battleford Airport,CA,CA-SK,North Battleford,55.5321257,-106.1412243
Gander International Airport,CA,CA-NL,Gander,53.8217327,-61.2295532
