first_name,last_name,gender,t_first_name,t_last_name
प्रभाकर,महाजन,Male,Prabhakar,Mahajan
प्रबोध,महाराज,Male,Prabodh,Maharaj
प्रदीप,मजूमदार,Male,Pradeep,Majumdar
प्रणव,मल्लिक,Male,Pranav,Mallik
प्रेम,सेनाधीश,Male,Love,commander
राजीव,माने,Male,Rajeev,Mane
रतन,मंगल,Male,Rattan,Mars
रोहन,मंगत,Male,Rohan,Mangat
विष्णु,रामशर्मा,Male,Vishnu,Ramsharma
विक्रम,मणि,Male,Vikram,Mani
विजया,मान,Female,Vijaya,Maan
विजय,श्रीविमल,Male,Vijay,Srivimal
विवेक,कुमार,Male,Vivek,Kumar
यश,मंडल,Male,Yash,Mandal
अभिलाषा,अली,Female,Abhilasha,Ali
अदिती,हासन,Female,Aditi,Hassan
ऐश्वर्या,हुसैन,Female,Aishwarya,Hussain
अमिता,खान,Female,Amita,khan
अंकिता,अब्बासी,Female,Ankita,Abbasi
आशा,नूरानी,Female,Asha,Noorani
अवनी,पाटिल,Female,Avni,Patil
भरत,शर्मा,Male,Bharat,Sharma
चेतना,आचार्य,Female,Chetana,Acharya
दिव्या,अग्रवाल,Female,Divya,Aggarwal
एषा,सिंह,Female,Esha,Singh
इन्दु,अहलुवालिया,Female,Indu,Ahluwalia
जया,आहूजा,Female,Jaya,Ahuja
जयन्ती,पुष्कर,Female,Jayanti,Pushkar
ज्योत्सना,शिरोळे,Female,Jyotsna,Shirole
कान्ती,गायकवाड,Female,Kanti,Gaekwad
कुमारी,गावित,Female,Miss,gavit
लता,शिरोळे,Female,Lata,Shirole
लीला,बापट,Female,Leela,bapt
मालती,अरोड़ा,Female,Malati,Arora
मोहिनी,बाबू,Female,Mohini,Babu
निशा,बादामी,Female,Nisha,Badami
पूर्णिमा,जमानत,Female,Full moon,bail
पुष्पा,बजाज,Female,Pushpa,Bajaj
रचना,बक्षी,Female,Rachna,Bakshi
रजनी,बालकृष्णन,Female,Rajni,Balakrishnan
रश्मी,बालासुब्रमणियम,Female,Rashmi,Balasubramaniam
रिया,बसु,Female,Riya,Basu
सरला,भंडारी,Female,Sarla,Bhandari
सरस्वती,चौधरी,Female,Saraswati,Chaudhary
सावित्री,चौहान,Female,Savitri,Chauhan
शक्ति,छाबरा,Female,Shakti,Chhabra
शान्ता,दादा,Female,Shanta,Dada
शर्मिला,डानी,Female,Shy,danny
श्यामा,डार,Female,Brunette,dar
सुलभा,दारा,Female,Sulabha,dara
तृष्णा,दत्ता,Female,Trishna,Dutta
विद्या,दवे,Female,Vidya,Dave
अली,दयाल,Male,Ali,Dayal
हासन,धालीवाल,Male,Hassan,Dhaliwal
हुसैन,दीक्षित,Male,Husain,Dixit
ज़ाकिर,दोषी,Male,Zakir,guilty
रिज़वान,दुआ,Male,Rizwan,Dua
फ़रहान,दूबे,Male,Farhan,Dubey
ज़ोया,खान,Female,Zoya,Khan
