airport,latitude,longitude,municipality,country,country_code,city,state,postal_code,calling_code,timezone
Hilliard Airpark,30.68630027770996,-81.90570068359375,Hilliard,United States,US-FL,,Florida,32046,1,America/New_York
Caldwell Municipal Airport,37.03609848022461,-97.5864028930664,Caldwell,United States,US-KS,,Kansas,67022,1,America/New_York
Flying N Ranch Airport,38.54059982299805,-97.00330352783205,Lost Springs,United States,US-KS,,Kansas,66859,1,America/New_York
Lourdes Hospital Heliport,37.051700592041016,-88.64689636230469,Paducah,United States,US-KY,Paducah,Kentucky,42003,1,America/New_York
Barham Airport,32.638999938964844,-91.77369689941406,Oak Ridge,United States,US-LA,,Louisiana,71264,1,America/New_York
Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,Pinckneyville,United States,US-IL,,Illinois,62274,1,America/New_York
Country Breeze Airport,30.70599937438965,-91.07740020751952,Slaughter,United States,US-LA,,Louisiana,70777,1,America/New_York
Compaq Andover Heliport,42.625099182128906,-71.18009948730469,Andover,United States,US-MA,,Massachusetts,01810-5638,1,America/New_York
Annapolis Seaplane Base,38.999199,-76.456001,Annapolis,United States,US-MD,,Maryland,21409,1,America/New_York
Saint Peter's Seaplane Base,46.77890014648438,-68.50029754638672,Portage Lake,United States,US-ME,,Maine,04768,1,America/New_York
Flow Through Terminal Heliport,43.04949951171875,-83.67970275878906,Flint,United States,US-MI,Flint,Michigan,48505,1,America/New_York
Barnes Seaplane Base,47.89960098266602,-92.55740356445312,Cook,United States,US-MN,,Minnesota,55723,1,America/New_York
Highway Patrol Troop C Headquarters Heliport,38.641700744628906,-90.48429870605469,Town and Country,United States,US-MO,Town and Country,Missouri,63017,1,America/New_York
Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341795,Fortine,United States,US-MT,,Montana,,1,America/New_York
Topsail Airpark,34.47529983520508,-77.5813980102539,Holly Ridge,United States,US-NC,,North Carolina,28443,1,America/New_York
Detour Airport,40.84360122680664,-100.65299987792969,Wellfleet,United States,US-NE,,Nebraska,,1,America/New_York
Moore Airfield,43.6445,-72.086998,Canaan,United States,US-NH,,New Hampshire,03741,1,America/New_York
Albert Guido Memorial Heliport,40.741798400878906,-74.13710021972656,Newark,United States,US-NJ,Newark,New Jersey,07105,1,America/New_York
Champion Ranch Airport,33.008611,-104.540278,Artesia,United States,US-NM,,New Mexico,,1,America/New_York
Lantana Ranch Airport,38.76390075683594,-119.0270004272461,Yerington,United States,US-NV,,Nevada,,1,America/New_York
Vassar Hospital Heliport,41.694187,-73.935582,Poughkeepsie,United States,US-NY,Poughkeepsie,New York,12601,1,America/New_York
Galion Community Hospital Heliport,40.73059844970703,-82.80159759521484,Galion,United States,US-OH,,Ohio,44833,1,America/New_York
Lawrence Airport,35.294498,-98.636496,Eakly,United States,US-OK,,Oklahoma,,1,America/New_York
Red & White Flying Service Airport,43.119301,-121.044997,Silver Lake,United States,US-OR,,Oregon,97638,1,America/New_York
Pine Heliport,40.655602,-80.050903,Mars,United States,US-PA,,Pennsylvania,15090,1,America/New_York
Bierly(Personal Use) Airport,40.93059921264648,-77.73889923095703,Bellefonte,United States,US-PA,,Pennsylvania,16823,1,America/New_York
Nort's Resort Airport,41.59590148925781,-76.02960205078125,Meshoppen,United States,US-PA,,Pennsylvania,,1,America/New_York
York Airport,35.032100677490234,-81.25279998779297,York,United States,US-SC,,South Carolina,29710,1,America/New_York
Thirty Thirty Matlock Office Center Heliport,32.694198608398445,-97.11579895019531,Arlington,United States,US-TX,Arlington,Texas,76015,1,America/New_York
Smith Field,32.737598419189446,-96.4280014038086,Forney,United States,US-TX,,Texas,75126,1,America/New_York
Colonial Air Park,34.995899200439446,-89.73059844970703,Collierville,United States,US-TN,,Tennessee,38017:38141,1,America/New_York
St Joseph Hospital Heliport,32.7285,-97.324501,Fort Worth,United States,US-TX,Fort Worth,Texas,76104,1,America/New_York
Mims Farm Ultralightport,32.38759994506836,-96.87750244140624,Waxahachie,United States,US-TX,,Texas,75167,1,America/New_York
Duckwater Airport,38.851600646972656,-115.63400268554688,Duckwater,United States,US-NV,,Nevada,,1,America/New_York
La Sal Junction Airport,38.30830001831055,-109.39600372314452,La Sal,United States,US-UT,,Utah,84530,1,America/New_York
Pickles Airport,39.125,-77.9250030518,Berryville,United States,US-VA,,Virginia,22611,1,America/New_York
Willapa Harbor Heliport,46.66320037841797,-123.81199645996094,South Bend,United States,US-WA,South Bend,Washington,98586,1,America/New_York
Prehn Cranberry Company Airport,44.0099983215332,-90.38919830322266,Tomah,United States,US-WI,,Wisconsin,54660,1,America/New_York
Whidbey General Hospital Heliport,48.2134017944336,-122.68499755859376,Coupeville,United States,US-WA,"Coupeville, Washington",Washington,98239,1,America/New_York
Odyssey Heliport,47.518178000000006,-122.210908,Renton,United States,US-WA,Renton,Washington,98056,1,America/New_York
Keyhole Airport,44.34719848632813,-104.81099700927734,Moorcroft,United States,US-WY,,Wyoming,,1,America/New_York
Seton Medical Center Hays Heliport,30.007222,-97.853333,Kyle,United States,US-TX,,Texas,78640,1,America/New_York
Meadowood Ranch Heliport,32.020198822021484,-95.74549865722656,Athens,United States,US-TX,,Texas,75804,1,America/New_York
Rustic Wilderness Airport,61.87689971923828,-150.09800720214844,Willow,United States,US-AK,,Alaska,99688,1,America/New_York
Bass Field,30.37150001525879,-87.76439666748047,Foley,United States,US-AL,,Alabama,36555,1,America/New_York
Three Rivers Airport,34.822445,-92.44442,Little Rock,United States,US-AR,,Arkansas,72223,1,America/New_York
Winchester Farm Airstrip,32.376401,-109.936996,Willcox,United States,US-AZ,,Arizona,,1,America/New_York
Swepi Beta Platform Ellen Heliport,33.58250045776367,-118.12899780273438,Huntington Beach,United States,US-CA,Huntington Beach,California,,1,America/New_York
Shannon Field,34.129600524902344,-90.52400207519531,Clarksdale,United States,US-MS,,Mississippi,38739,1,America/New_York
Conover Air Lodge Airport,34.761101000000004,-119.058998,Frazier Park,United States,US-CA,,California,93225,1,America/New_York
Mc Cullough Airport,37.64329910279999,-106.04699707,Monte Vista,United States,US-CO,,Colorado,,1,America/New_York
Strangers Point Heliport,41.91960144042969,-72.44450378417969,Ellington,United States,US-CT,,Connecticut,06029,1,America/New_York
Osborn Airfield,28.52669906616211,-81.87480163574219,Groveland,United States,US-FL,The Villages,Florida,34736,1,America/New_York
Cuchens Airport,30.642527,-86.118779,Defuniak Springs,United States,US-FL,,Florida,32435,1,America/New_York
Doug Bolton Field,34.202598571777344,-83.42900085449219,Commerce,United States,US-GA,,Georgia,30530,1,America/New_York
Etowah Fields Airport,34.17530059814453,-84.92440032958984,Euharlee,United States,US-GA,,Georgia,30145,1,America/New_York
K3 Helipad Heliport,21.36199951171875,-157.9510040283203,Pearl Harbor,United States,US-HI,Aiea,Hawaii,96860,1,America/New_York
Boone County Hospital Heliport,42.05609893798828,-93.87799835205078,Boone,United States,US-IA,,Iowa,50036,1,America/New_York
Morgan Ranch Airport,44.55550003051758,-115.30500030517578,Cascade,United States,US-ID,,Idaho,,1,America/New_York
King Ultralightport,40.06230163574219,-86.21050262451172,Westfield,United States,US-IN,,Indiana,46069,1,America/New_York
Diamond P. Field,40.208900451660156,-85.54080200195312,Muncie,United States,US-IN,,Indiana,47396,1,America/New_York
Condell Medical Center Heliport,42.274600982666016,-87.9572982788086,Libertyville,United States,US-IL,,Illinois,60048,1,America/New_York
Jmj Landing Airport,39.22219848632813,-96.0552978515625,St Marys,United States,US-KS,,Kansas,66536,1,America/New_York
St Claire Healthcare Heliport,38.181441,-83.44331899999997,Morehead,United States,US-KY,,Kentucky,40351,1,America/New_York
Boone National Guard Heliport,38.18339920043945,-84.89990234375,Frankfort,United States,US-KY,Frankfort,Kentucky,40601,1,America/New_York
La State Police Troop G Heliport,32.531299591064446,-93.6602020263672,Bossier City,United States,US-LA,Bossier City,Louisiana,71112,1,America/New_York
Windy Hill Heliport,30.14830017089844,-91.91899871826172,Broussard,United States,US-LA,,Louisiana,70518,1,America/New_York
Cuttyhunk Heliport,41.41960144042969,-70.927001953125,Gosnold,United States,US-MA,,Massachusetts,02713,1,America/New_York
Garner Field,38.672544,-76.709739,Brandywine,United States,US-MD,,Maryland,,1,America/New_York
Nadeau's Airfield,43.5373,-70.929397,Acton,United States,US-ME,,Maine,04001,1,America/New_York
Fairplains Airpark,43.15710067749024,-85.14849853515625,Greenville,United States,US-MI,,Michigan,48838,1,America/New_York
Greenbush Municipal Airport,48.68330001831055,-96.19200134277344,Greenbush,United States,US-MN,Greenbush,Minnesota,56726,1,America/New_York
Troy Airpark,39.04999923706055,-91.03350067138672,Troy,United States,US-MO,,Missouri,,1,America/New_York
Watts Field,34.100101470947266,-90.8468017578125,Rochdale,United States,US-MS,,Mississippi,38746,1,America/New_York
Barrett Field,47.2374,-111.74304,Cascade,United States,US-MT,,Montana,59421,1,America/New_York
Timber Line Airpark,36.65423300000001,-93.797418,Cassville,United States,US-MO,,Missouri,,1,America/New_York
Race City Heliport,35.541111,-80.597778,Landis,United States,US-NC,,North Carolina,28023,1,America/New_York
Benes Service Airport,41.074501037597656,-96.90450286865234,Valparaiso,United States,US-NE,,Nebraska,68065,1,America/New_York
Iroquois Landing Seaplane Base,44.65710067749024,-71.21910095214844,Dummer,United States,US-NH,,New Hampshire,03588,1,America/New_York
Penske Heliport,40.55730056762695,-74.46710205078125,Piscataway,United States,US-NJ,,New Jersey,08854,1,America/New_York
Paiute Meadows Airport,41.30329895019531,-118.5979995727539,Winnemucca,United States,US-NV,,Nevada,,1,America/New_York
Hansen Heliport,43.13259887695313,-75.65550231933594,Durhamville,United States,US-NY,,New York,13054,1,America/New_York
Zimmerman Airport,41.37639999389648,-83.08329772949219,Fremont,United States,US-OH,,Ohio,43420,1,America/New_York
Murtha Airport,41.80199813842773,-80.56539916992188,Conneaut,United States,US-OH,,Ohio,44082,1,America/New_York
Canon Heliport,35.458401,-97.525297,Oklahoma City,United States,US-OK,Oklahoma City,Oklahoma,73109,1,America/New_York
Rowena Dell Airport,45.68149948120117,-121.31600189208984,The Dalles,United States,US-OR,,Oregon,98635,1,America/New_York
Stottle Memorial Heliport,40.403596,-77.556602,Honey Grove,United States,US-PA,,Pennsylvania,17035,1,America/New_York
Lag Iii Heliport,40.43830108642578,-79.7699966430664,Monroeville,United States,US-PA,,Pennsylvania,15146,1,America/New_York
Peco Berwyn Heliport,40.06959915161133,-75.4552001953125,Berwyn,United States,US-PA,Tredyffrin Township,Pennsylvania,19087,1,America/New_York
Hughes Ultralightport,41.90060043334961,-77.23030090332031,Tioga,United States,US-PA,,Pennsylvania,16946,1,America/New_York
Harpers Airport,32.758499145507805,-81.22480010986328,Estill,United States,US-SC,,South Carolina,29918,1,America/New_York
Wise River Airport,45.76910018920898,-112.98200225830078,Wise River,United States,US-MT,,Montana,,1,America/New_York
Matagorda Shore Facility Heliport,28.721399307250977,-95.8738021850586,Matagorda,United States,US-TX,,Texas,,1,America/New_York
Baylor Medical Center Heliport,32.395401000976555,-96.86419677734376,Waxahachie,United States,US-TX,Waxahachie,Texas,75165,1,America/New_York
Ellis Field,35.780601501464844,-86.58419799804688,Murfreesboro,United States,US-TN,,Tennessee,37153,1,America/New_York
FWOMC Heliport,32.747601,-97.370003,Fort Worth,United States,US-TX,Fort Worth,Texas,76107,1,America/New_York
The Palms At Kitty Hawk Airport,33.3704032898,-101.92288208,New Home,United States,US-TX,,Texas,79383,1,America/New_York
Lucin Airport,41.36629867553711,-113.84300231933594,Lucin,United States,US-UT,,Utah,,1,America/New_York
The Greenhouse Airport,38.43569946289063,-77.8572006225586,Culpeper,United States,US-VA,,Virginia,22714,1,America/New_York
Northstar Aviation Heliport,36.63880157470703,-82.11669921875,Bristol,United States,US-VA,,Virginia,24202,1,America/New_York
Cawleys South Prairie Airport,47.15230178833008,-122.09400177001952,South Prairie,United States,US-WA,,Washington,98321,1,America/New_York
Beer Airport,45.031898498535156,-92.65579986572266,Hudson,United States,US-WI,,Wisconsin,54082,1,America/New_York
Fowler Field,48.74580001831055,-119.31900024414062,Tonasket,United States,US-WA,,Washington,,1,America/New_York
JLS Farms Airport,33.591319,-95.882864,Honey Grove,United States,US-TX,Honey Grove,Texas,75446,1,America/New_York
Seidel Ranch Airport,30.147699,-97.662804,Elroy,United States,US-TX,,Texas,78719,1,America/New_York
Trapper T Heliport,61.55605500000001,-149.284527,Palmer,United States,US-AK,,Alaska,,1,America/New_York
Joe Clouds Seaplane Base,60.72722244262695,-151.13278198242188,Kenai,United States,US-AK,,Alaska,,1,America/New_York
Highland Medical Center Heliport,34.662603999999995,-86.046774,Scottsboro,United States,US-AL,,Alabama,35768,1,America/New_York
Hscmh Heliport,34.357601165771484,-92.78849792480469,Malvern,United States,US-AR,,Arkansas,72104,1,America/New_York
Thompson International Aviation Airport,31.43339920043945,-110.08399963378906,Hereford,United States,US-AZ,,Arizona,,1,America/New_York
Grossmont Hospital Heliport,32.779484000000004,-117.006952,La Mesa,United States,US-CA,,California,91942,1,America/New_York
Kugel-Strong Airport,40.2125015259,-104.744003296,Platteville,United States,US-CO,,Colorado,80651,1,America/New_York
Lake Persimmon Airstrip,27.35309982299805,-81.40809631347656,Lake Placid,United States,US-FL,,Florida,33852,1,America/New_York
Tharpe Airport,30.8288,-85.731003,Bonifay,United States,US-FL,,Florida,,1,America/New_York
Ranger Heliport,26.68370056152344,-80.18730163574219,West Palm Beach,United States,US-FL,West Palm Beach,Florida,33411,1,America/New_York
HIA Airport,32.5623056,-81.8576944,Statesboro,United States,US-IN,,Georgia,30450,1,America/New_York
Clarks Dream Strip,39.644199,-83.018204,Circleville,United States,US-OH,,Ohio,43113,1,America/New_York
East Field,41.58190155029297,-92.4613037109375,Montezuma,United States,US-IA,,Iowa,50171,1,America/New_York
Flying Y Ranch Airport,44.7943000793457,-116.53299713134766,Council,United States,US-ID,,Idaho,83612,1,America/New_York
Davis Field Ultralightport,37.962001800500005,-87.77890014649998,Mount Vernon,United States,US-IN,,Indiana,47620,1,America/New_York
Wix Airport,41.40230178833008,-87.81670379638672,Monee,United States,US-IL,,Illinois,60449,1,America/New_York
Heinzman Airport,40.18000030517578,-86.01249694824219,Arcadia,United States,US-IN,,Indiana,46030,1,America/New_York
OSF St Anthony's Health Center Heliport,38.904999,-90.173401,Alton,United States,US-IL,,Illinois,62002,1,America/New_York
Valley Grain Heliport,39.86470031738281,-95.26409912109376,Highland,United States,US-KS,,Kansas,66035,1,America/New_York
Flying H Farms Airport,37.79169845581055,-87.54139709472656,Henderson,United States,US-KY,,Kentucky,42420,1,America/New_York
Damien Heliport,30.19960021972656,-91.12789916992188,Carville,United States,US-LA,St. Gabriel,Louisiana,70776,1,America/New_York
Fmc Nr 1 Heliport,32.15900039672852,-91.70800018310548,Winnsboro,United States,US-LA,,Louisiana,71295,1,America/New_York
Lakeside Marina Seaplane Base,44.320899963378906,-69.88950347900389,East Winthrop,United States,US-ME,,Maine,04351,1,America/New_York
Hadley Airport,42.39310073852539,-72.552001953125,Hadley,United States,US-MA,,Massachusetts,01003,1,America/New_York
Upper Chesapeake Medical Center Heliport,39.522499084472656,-76.32669830322266,Bel Air,United States,US-MD,,Maryland,21014,1,America/New_York
Maple Ridge Airport,44.08420181274414,-70.6272964477539,Harrison,United States,US-ME,,Maine,04040,1,America/New_York
Harold Miller Heliport,43.55089950561523,-83.86219787597656,Bay City,United States,US-MI,,Michigan,48708,1,America/New_York
Nauerth Land Ranch Airport,43.62519836425781,-95.22470092773438,Lakefield,United States,US-MN,Jackson,Minnesota,56143,1,America/New_York
Cahoochie Airport,37.884499,-93.131599,Urbana,United States,US-MO,,Missouri,,1,America/New_York
Vicksburg Medical Center Heliport,32.318801879882805,-90.8832015991211,Vicksburg,United States,US-MS,,Mississippi,31980,1,America/New_York
Cascade Field,47.267327,-111.71748,Cascade,United States,US-MT,,Montana,,1,America/New_York
Mc Donnell Airport,38.4925003052,-94.41249847410002,Archie,United States,US-MO,Drexel,Missouri,64742,1,America/New_York
Pilots Ridge Airport,34.10430145263672,-77.9041976928711,Carolina Beach,United States,US-NC,,North Carolina,28412,1,America/New_York
Olafson Brothers Airport,48.62639999389648,-97.8290023803711,Edinburg,United States,US-ND,,North Dakota,,1,America/New_York
Hyde Ranch Airport,41.5463981628418,-99.3311996459961,Comstock,United States,US-NE,,Nebraska,,1,America/New_York
Lorden Heliport,42.81539916992188,-71.12439727783203,Milford,United States,US-NH,,Massachusetts,03811-9998,1,America/New_York
At&T Heliport,40.668713,-74.410152,Berkeley Heights,United States,US-NJ,,New Jersey,07922,1,America/New_York
Llama Ranch Airport,40.58440017700195,-115.2979965209961,Ruby Valley,United States,US-NV,,Nevada,,1,America/New_York
Talmage Field,40.95840072631836,-72.716796875,Riverhead,United States,US-NY,,New York,11902,1,America/New_York
Gibbs Field,41.418399810791016,-83.01740264892578,Fremont,United States,US-OH,,Ohio,43420,1,America/New_York
"Cleveland Clinic, Marymount Hospital Heliport",41.420312,-81.599552,Garfield Heights,United States,US-OH,,Ohio,44125,1,America/New_York
Sahoma Lake Airport,36.04119873046875,-96.1613998413086,Sapulpa,United States,US-OK,,Oklahoma,74066,1,America/New_York
Powwatka Ridge Airport,45.85540008544922,-117.48400115966795,Troy,United States,US-OR,,Oregon,,1,America/New_York
Collegeville Heliport,40.162899017333984,-75.4656982421875,Collegeville,United States,US-PA,Upper Providence Township,Pennsylvania,19426,1,America/New_York
M.P. Metals Heliport,41.066861,-76.180806,Berwick,United States,US-PA,,Pennsylvania,18603,1,America/New_York
Sun View Field Airport,39.065947,-94.921703,Bonner Springs,United States,US-KS,,Kansas,,1,America/New_York
Ziggy's Field,40.849998,-77.905602,Bellefonte,United States,US-PA,,Pennsylvania,16844,1,America/New_York
Sandy River Airport,45.40179824829102,-122.22899627685548,Sandy,United States,US-OR,,Oregon,97055,1,America/New_York
